source code,name,Canadian Heritage region code,"Canadian Heritage region name, english","Canadian Heritage region name, french",province code,"province name, english","province name, french",economic region code,"economic region name, english","economic region name, french",census division code,"census division name, english","census division name, french",census subdivision code,census subdivision name,dissemination area code,census metropolitan area code,census metropolitan area name,census metropolitan area type,Statistical Area Classification (SAC) type,Statistical Area Classification (SAC) code,latitude,longitude
59_034_03,Centennial Park Elementary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5920,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,cd5909,Fraser Valley,Fraser Valley,5909052,Abbotsford,59090110,59932,Abbotsford - Mission,cma,1,932,49.047594,-122.315436
59_034_05,Chief Dan George Middle,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5920,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,cd5909,Fraser Valley,Fraser Valley,5909052,Abbotsford,59090125,59932,Abbotsford - Mission,cma,1,932,49.066409,-122.313733
59_034_01,Clearbrook Elementary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5920,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,cd5909,Fraser Valley,Fraser Valley,5909052,Abbotsford,59090792,59932,Abbotsford - Mission,cma,1,932,49.068147,-122.338004
59_034_02,Margaret Stenersen Elementary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5920,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,cd5909,Fraser Valley,Fraser Valley,5909052,Abbotsford,59090058,59932,Abbotsford - Mission,cma,1,932,49.057227,-122.270566
59_034_06,Sandy Hill Elementary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5920,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,cd5909,Fraser Valley,Fraser Valley,5909052,Abbotsford,59090049,59932,Abbotsford - Mission,cma,1,932,49.07144,-122.249331
59_034_04,W J Mouat Secondary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5920,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,cd5909,Fraser Valley,Fraser Valley,5909052,Abbotsford,59090103,59932,Abbotsford - Mission,cma,1,932,49.058918,-122.329
59_070_01,Alberni District Secondary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5910,Vancouver Island and Coast,Ile de Vancouver et la cìte,cd5923,Alberni-Clayoquot,Alberni-Clayoquot,5923008,Port Alberni,59230143,59940,Port Alberni,ca with no census tracts,3,940,49.250946,-124.805999
59_070_03,Alberni Elementary,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5910,Vancouver Island and Coast,Ile de Vancouver et la cìte,cd5923,Alberni-Clayoquot,Alberni-Clayoquot,5923008,Port Alberni,59230106,59940,Port Alberni,ca with no census tracts,3,940,49.260828,-124.807501
59_070_02,Eric J Dunn Middle School,pch05,Western Region,RÇgion de l'Ouest,pr59,British Columbia,Colombie-Britannique,er5910,Vancouver Island and Coast,Ile de Vancouver et la cìte,cd5923,Alberni-Clayoquot,Alberni-Clayoquot,5923008,Port Alberni,59230127,59940,Port Alberni,ca with no census tracts,3,940,49.234727,-124.786401
35_B28010_186783,Esten Park Public School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3590,Northeast,Nord-est,cd3557,Algoma,Algoma,3557041,Elliot Lake,35570349,35582,Elliot Lake,ca with no census tracts,3,582,46.371799,-82.62058
35_B28010_202614,Francis H Clergue Public School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3590,Northeast,Nord-est,cd3557,Algoma,Algoma,3557061,Sault Ste. Marie,35570060,35590,Sault Ste. Marie,ca with census tracts,2,590,46.518071,-84.310249
35_B28010_490822,Rosedale Public School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3590,Northeast,Nord-est,cd3557,Algoma,Algoma,3557061,Sault Ste. Marie,35570100,35590,Sault Ste. Marie,ca with census tracts,2,590,46.523881,-84.314724
35_B28010_958050,Superior Heights Collegiate and Vocational School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3590,Northeast,Nord-est,cd3557,Algoma,Algoma,3557061,Sault Ste. Marie,35570386,35590,Sault Ste. Marie,ca with census tracts,2,590,46.540095,-84.334546
35_B67202_827681,Cathedrale Catholic School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3515,Kingston - Pembroke,Kingston - Pembroke,cd3510,Frontenac,Frontenac,3510010,Kingston,35100193,35521,Kingston,cma,1,521,44.231006,-76.49028
35_B67202_706264,Our Lady of Mount Carmel Catholic School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3515,Kingston - Pembroke,Kingston - Pembroke,cd3511,Lennox and Addington,Lennox and Addington,3511005,Loyalist,35110092,35521,Kingston,cma,1,521,44.222388,-76.640601
35_B67202_752932,Regiopolis/Notre-Dame Catholic High School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3515,Kingston - Pembroke,Kingston - Pembroke,cd3510,Frontenac,Frontenac,3510010,Kingston,35100180,35521,Kingston,cma,1,521,44.24388,-76.493957
35_B67202_831840,St Mary Catholic School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3515,Kingston - Pembroke,Kingston - Pembroke,cd3512,Hastings,Hastings,3512015,Quinte West,35120322,35522,Belleville,ca with census tracts,2,522,44.108565,-77.566616
35_B67202_834688,St Michael Catholic School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3515,Kingston - Pembroke,Kingston - Pembroke,cd3512,Hastings,Hastings,3512005,Belleville,35120107,35522,Belleville,ca with census tracts,2,522,44.16866,-77.382889
35_B67202_845493,St Peter Catholic School,pch03,Ontario,Ontario,pr35,Ontario,Ontario,er3515,Kingston - Pembroke,Kingston - Pembroke,cd3512,Hastings,Hastings,3512015,Quinte West,35120325,35522,Belleville,ca with census tracts,2,522,44.099661,-77.579328
13_1572_01,Arnold H. McLeod School,pch01,Atlantic Region,RÇgion de l'Atlantique,pr13,New Brunswick,Nouveau-Brunswick,er1320,Moncton - Richibucto,Moncton - Richibucto,cd1307,Westmorland,Westmorland,1307022,Moncton,13070049,13305,Moncton,cma,1,305,46.109526,-64.752929
